,number,brine,mineral oil,pgpr,silica,clay,silicone oil,span 60,span 80,tween 60,tween 22,fumed silica,stability,comments,size,yield stress
0,14,65.64,32.91,1.45,0.0,0.0,0,0,0,0,0,0,M,?,16,6.78
1,33,59.9221,37.58828,0.873151,1.61647,0.0,0,0,0,0,0,0,0,,16,0.0
2,15,65.32,32.6,1.7,0.38,0.0,0,0,0,0,0,0,M,Obs:  as of 13/2 spit- droplet test- floated,16,4.74
3,16,65.31,32.63,1.56,0.19,0.0,0,0,0,0,0,0,M,"Obs:  As of 13/2 split W/O, Droplet test- sank",16,6.95
4,17,65.21,32.574,1.437,0.775,0.0,0,0,0,0,0,0,M,"Obs:  as of 13/2 some small phase separation, droplet test- sank, easily recombines at low shear",16,6.66
5,18,64.711,32.606,1.698,0.985,0.0,0,0,0,0,0,0,3,Obs:  As of 13/2 fine- stable. W/O droplet test= good,16,6.11
6,19,65.875,32.954,0.805,0.365,0.0,0,0,0,0,0,0,M,"Obs:  As of 13/2 split,  W/O droplet test=sank to the bottom",16,2.44
7,20,65.928,33.135,0.745,0.192,0.0,0,0,0,0,0,0,3,"Obs:  As of 13/2 potentially phase sep towards the top of the sample, easiliy recombines.  W/O ",16,3.84
8,21,65.601,32.821,0.826,0.752,0.0,0,0,0,0,0,0,3,"Obs:  As of 13/2 Fine all good, stability and density",16,4.78
9,22,64.851,32.465,2.32,0.364,0.0,0,0,0,0,0,0,3,"Obs:  As of 13/2 Fine all good, stability and density",16,2.0
10,23,65.115,32.567,2.123,0.195,0.0,0,0,0,0,0,0,M,Obs:  As of 13/2 some phase separation,16,0.0
11,24,66.123,33.207,0.292,0.378,0.0,0,0,0,0,0,0,M,"Obs:  As of 13/2  split, droplet test- floated. ",16,0.0
12,25,65.577,32.9,0.437,1.086,0.0,0,0,0,0,0,0,3,Obs:  As of 13/2 W/O stability seems good but the droplet test floated. ,16,0.0
13,26,63.738,31.888,1.079,0.392,2.904,0,0,0,0,0,0,5,Obs: As of 13/2 droplets sink if jostled. Stability is good,16,3.48
14,27,61.019,30.546,1.517,0.333,6.584,0,0,0,0,0,0,5,"Obs:  As of 13/2 amost gel like, very stiff could not be dropped into the water with any pipette",16,38.64
15,28,63.514,31.708,1.531,0.374,2.873,0,0,0,0,0,0,5,"Obs:  As of 13/2 amost gel like, very stiff could not be dropped into the water with any pipette",16,67.03
16,29,63.572,31.915,1.664,0.0,2.847,0,0,0,0,0,0,3,"Obs:  As of 13/2 All good, dense enough and stable. ",16,12.63
17,30,65.63,32.912,1.458,0.0,0.0,0,0,0,0,0,0,M,,16,0.0
18,32,64.1478,32.02329,0.757657,0.199571,2.971683,0,0,0,0,0,0,3,"As of 14/02 after heating at 50 °C for 18 h: very stiff, stable",16,0.0
19,34,58.46691,36.3532,2.828685,2.351205,0.0,0,0,0,0,0,0,M,,16,0.0
20,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
21,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
22,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
23,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
24,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
25,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
26,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
27,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
28,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
29,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
30,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
31,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16,0.0
